Case Number,Case Type,Law Firm,Date,Status,Reference Number,View Options
2019/115488,Restricted jurisdiction labor case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-11-2019,Case Filed,"2019/13405 Labor, Partial","Choose View Option
    View the application
    View the case"
2019/114272,Restricted jurisdiction labor case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-11-2019,Case Filed,"2019/13150 Labor, Partial","Choose View Option
    View the application
    View the case"
2019/111197,Full jurisdiction labor case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/11/2019,Case Filed,"2019/430 Labor, full jurisdiction","Choose View Option
    View the application
    View the case"
2019/105495,Share'i oppositions case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-10-2019,Case Filed,"2019/122 Problems, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/104214,Restricted jurisdiction labor case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-10-2019,Case Filed,"2019/12280 Labor, Partial","Choose View Option
    View the application
    View the case"
2019/102394,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-10-2019,Case Filed,2019/2536 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/102391,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-10-2019,Case Filed,2019/2510 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/102088,Commercial appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-10-2019,Case Filed,2019/2544 Commercial appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/101328,Conjugal matters case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-10-2019,Case Filed,2019/5604 Marital matters,"Choose View Option
    View the application
    View the case"
2019/101257,Appeal personal status and estates case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-10-2019,Case Filed,2019/1038 Appeal of personal status and inheritance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/93372,Commercial Oppositions case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-09-2019,Case Filed,"2019/310 Problems, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/92902,Share'i oppositions case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-09-2019,Case Filed,"2019/110 Problems, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/92034,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-09-2019,Case Filed,"2019/6334 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/91795,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-09-2019,Case Filed,2019/2780 Labor appeal,"Choose View Option
    View the application
    View the case"
2019/89940,Commercial-restricted jurisdiction case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-09-2019,Case Filed,"2019/3612 Commercial, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/83879,Civil appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-08-2019,Case Filed,2019/1179 Civil appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/80165,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,18-08-2019,Case Filed,2019/2416 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/75506,Commercial appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,31-07-2019,Case Filed,2019/1944 Commercial appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/71333,Commercial dispute case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,21-07-2019,Case Filed,2019/1670 Commercial Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/67540,Commercial-restricted jurisdiction case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/7/2019,Case Filed,"2019/2809 Commercial, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/63599,Restricted jurisdiction labor case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-06-2019,Case Filed,"2019/5978 Labor, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/62800,Civil appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-06-2019,Case Filed,2019/836 Civil appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2019/60038,Commercial-restricted jurisdiction case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-06-2019,Case Filed,"2019/2759 Commercial, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
